 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 2.961E+01, 1.057E+00, 8.000E-01
     2, 7.026E+01, 2.355E-01, 8.000E-01
     3, 1.405E+01, 3.424E-01, 8.000E-01
     4, 3.184E+01, 8.636E-02, 8.000E-01
     5, 6.368E+00, 3.551E-02, 8.000E-01
     6, 1.490E+00, 5.641E-03, 8.000E-01
     7, 2.980E-01, 3.298E-03, 8.000E-01
     8, 9.344E-01, 2.820E-03, 8.000E-01
     9, 1.869E-01, 2.830E-03, 8.000E-01
    10, 5.686E-01, 1.602E-03, 8.000E-01
    11, 1.137E-01, 1.348E-03, 8.000E-01
    12, 2.668E-01, 7.474E-04, 8.000E-01
    13, 5.337E-02, 6.227E-04, 8.000E-01
    14, 1.268E-01, 3.564E-04, 8.000E-01
    15, 2.535E-02, 3.009E-04, 8.000E-01
    16, 6.215E-02, 1.752E-04, 8.000E-01
    17, 1.243E-02, 1.490E-04, 8.000E-01
    18, 3.092E-02, 8.727E-05, 8.000E-01
    19, 6.184E-03, 7.439E-05, 8.000E-01
    20, 1.546E-02, 4.364E-05, 8.000E-01
    21, 3.091E-03, 3.722E-05, 8.000E-01
    22, 7.736E-03, 2.185E-05, 8.000E-01
    23, 1.547E-03, 1.864E-05, 8.000E-01
    24, 3.873E-03, 1.094E-05, 8.000E-01
    25, 7.746E-04, 9.331E-06, 8.000E-01
    26, 1.939E-03, 5.477E-06, 8.000E-01
    27, 3.879E-04, 4.672E-06, 8.000E-01
    28, 9.712E-04, 2.742E-06, 8.000E-01
    29, 1.942E-04, 2.340E-06, 8.000E-01
    30, 4.861E-04, 1.373E-06, 8.000E-01
    31, 9.723E-05, 1.171E-06, 8.000E-01
    32, 2.430E-04, 6.876E-07, 8.000E-01
    33, 4.861E-05, 5.866E-07, 8.000E-01
    34, 1.224E-04, 3.443E-07, 8.000E-01
    35, 2.448E-05, 2.937E-07, 8.000E-01
    36, 6.080E-05, 1.724E-07, 8.000E-01
    37, 1.216E-05, 1.471E-07, 8.000E-01
    38, 3.029E-05, 8.633E-08, 8.000E-01
