 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 4.972E+02, 4.664E-01, 8.000E-01
     2, 9.945E+01, 2.402E-01, 8.000E-01
     3, 3.117E+02, 2.921E-01, 8.000E-01
     4, 6.235E+01, 2.194E-01, 8.000E-01
     5, 4.248E+02, 1.535E-01, 8.000E-01
     6, 8.495E+01, 1.114E-01, 8.000E-01
     7, 2.111E+02, 7.384E-02, 8.000E-01
     8, 4.221E+01, 5.497E-02, 8.000E-01
     9, 8.813E+01, 4.093E-02, 8.000E-01
    10, 1.763E+01, 3.299E-02, 8.000E-01
    11, 3.643E+01, 2.749E-02, 8.000E-01
    12, 7.286E+00, 2.346E-02, 8.000E-01
    13, 1.549E+01, 2.069E-02, 8.000E-01
    14, 3.099E+00, 1.823E-02, 8.000E-01
    15, 6.878E+00, 1.649E-02, 8.000E-01
    16, 1.376E+00, 1.485E-02, 8.000E-01
    17, 3.145E+00, 1.364E-02, 8.000E-01
    18, 6.298E-01, 1.251E-02, 8.000E-01
    19, 1.432E+00, 1.164E-02, 8.000E-01
    20, 2.875E-01, 1.084E-02, 8.000E-01
    21, 6.179E-01, 1.019E-02, 8.000E-01
    22, 1.253E-01, 9.595E-03, 8.000E-01
    23, 2.299E-01, 9.098E-03, 8.000E-01
    24, 4.925E-02, 8.645E-03, 8.000E-01
    25, 5.806E-02, 8.253E-03, 8.000E-01
    26, 1.949E-02, 7.893E-03, 8.000E-01
    27, 5.121E-02, 7.573E-03, 8.000E-01
    28, 1.746E-02, 7.278E-03, 8.000E-01
    29, 7.407E-02, 7.009E-03, 8.000E-01
    30, 1.969E-02, 6.759E-03, 8.000E-01
    31, 7.799E-02, 6.528E-03, 8.000E-01
    32, 1.968E-02, 6.311E-03, 8.000E-01
    33, 7.218E-02, 6.108E-03, 8.000E-01
    34, 1.827E-02, 5.916E-03, 8.000E-01
    35, 6.264E-02, 5.734E-03, 8.000E-01
    36, 1.633E-02, 5.561E-03, 8.000E-01
    37, 5.243E-02, 5.396E-03, 8.000E-01
    38, 1.438E-02, 5.237E-03, 8.000E-01
    39, 4.294E-02, 5.086E-03, 8.000E-01
    40, 1.264E-02, 4.939E-03, 8.000E-01
    41, 3.472E-02, 4.799E-03, 8.000E-01
    42, 1.117E-02, 4.663E-03, 8.000E-01
    43, 2.789E-02, 4.532E-03, 8.000E-01
    44, 9.963E-03, 4.405E-03, 8.000E-01
    45, 2.238E-02, 4.282E-03, 8.000E-01
    46, 8.991E-03, 4.163E-03, 8.000E-01
    47, 1.801E-02, 4.047E-03, 8.000E-01
    48, 8.203E-03, 3.935E-03, 8.000E-01
    49, 1.460E-02, 3.827E-03, 8.000E-01
    50, 7.554E-03, 3.721E-03, 8.000E-01
