 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 8.579E+04, 5.809E+03, 8.000E-01
     2, 1.206E+05, 2.951E+03, 8.000E-01
     3, 3.213E+08, 2.525E+07, 8.000E-01
     4, 3.940E+09, 6.660E+07, 8.000E-01
     5, 1.345E+13, 1.050E+12, 8.000E-01
     6, 1.722E+14, 2.899E+12, 8.000E-01
     7, 5.909E+17, 4.601E+16, 8.000E-01
     8, 7.632E+18, 1.283E+17, 8.000E-01
     9, 2.625E+22, 2.041E+21, 8.000E-01
    10, 3.397E+23, 5.710E+21, 8.000E-01
    11, 1.169E+27, 9.089E+25, 8.000E-01
    12, 1.514E+28, 2.545E+26, 8.000E-01
    13, 5.212E+31, 4.052E+30, 8.000E-01
    14, 6.751E+32, 1.135E+31, 8.000E-01
    15, 2.324E+36, 1.807E+35, 8.000E-01
    16, 3.011E+37, 5.060E+35, 8.000E-01
    17, 1.037E+41, 8.057E+39, 8.000E-01
    18, 1.343E+42, 2.256E+40, 8.000E-01
    19, 4.623E+45, 3.593E+44, 8.000E-01
    20, 5.988E+46, 1.006E+45, 8.000E-01
    21, 2.062E+50, 1.602E+49, 8.000E-01
    22, 2.670E+51, 4.488E+49, 8.000E-01
    23, 9.194E+54, 7.147E+53, 8.000E-01
    24, 1.191E+56, 2.002E+54, 8.000E-01
    25, 4.100E+59, 3.187E+58, 8.000E-01
    26, 5.311E+60, 8.926E+58, 8.000E-01
    27, 1.829E+64, 1.421E+63, 8.000E-01
    28, 2.369E+65, 3.981E+63, 8.000E-01
    29, 8.155E+68, 6.339E+67, 8.000E-01
    30, 1.056E+70, 1.775E+68, 8.000E-01
    31, 3.637E+73, 2.827E+72, 8.000E-01
    32, 4.711E+74, 7.918E+72, 8.000E-01
    33, 1.622E+78, 1.261E+77, 8.000E-01
    34, 2.101E+79, 3.531E+77, 8.000E-01
    35, 7.234E+82, 5.623E+81, 8.000E-01
    36, 9.370E+83, 1.575E+82, 8.000E-01
    37, 3.226E+87, 2.508E+86, 8.000E-01
    38, 4.179E+88, 7.023E+86, 8.000E-01
    39, 1.439E+92, 1.118E+91, 8.000E-01
    40, 1.864E+93, 3.132E+91, 8.000E-01
    41, 6.417E+96, 4.988E+95, 8.000E-01
    42, 8.312E+97, 1.397E+96, 8.000E-01
    43, 2.862+101, 2.224+100, 8.000E-01
    44, 3.707+102, 6.230+100, 8.000E-01
    45, 1.276+106, 9.920+104, 8.000E-01
    46, 1.653+107, 2.778+105, 8.000E-01
    47, 5.692+110, 4.424+109, 8.000E-01
    48, 7.373+111, 1.239+110, 8.000E-01
    49, 2.538+115, 1.973+114, 8.000E-01
    50, 3.288+116, 5.526+114, 8.000E-01
    51, 1.132+120, 8.799+118, 8.000E-01
    52, 1.466+121, 2.464+119, 8.000E-01
    53, 5.049+124, 3.924+123, 8.000E-01
    54, 6.540+125, 1.099+124, 8.000E-01
    55, 2.252+129, 1.750+128, 8.000E-01
    56, 2.917+130, 4.902+128, 8.000E-01
    57, 1.004+134, 7.805+132, 8.000E-01
    58, 1.301+135, 2.186+133, 8.000E-01
    59, 4.478+138, 3.481+137, 8.000E-01
    60, 5.801+139, 9.749+137, 8.000E-01
    61, 1.997+143, 1.552+142, 8.000E-01
    62, 2.587+144, 4.348+142, 8.000E-01
