 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 1.128E+00, 4.685E-01, 8.000E-01
     2, 3.768E-01, 2.267E-01, 8.000E-01
     3, 1.105E+00, 1.997E-01, 8.000E-01
     4, 3.025E-01, 1.515E-01, 8.000E-01
     5, 3.030E-01, 1.662E-01, 8.000E-01
     6, 2.003E-01, 1.472E-01, 8.000E-01
     7, 2.909E-01, 1.210E-01, 8.000E-01
     8, 1.660E-01, 1.041E-01, 8.000E-01
     9, 2.958E-01, 7.406E-02, 8.000E-01
    10, 1.247E-01, 6.938E-02, 8.000E-01
    11, 1.327E-01, 5.099E-02, 8.000E-01
    12, 7.946E-02, 4.610E-02, 8.000E-01
    13, 9.439E-02, 3.654E-02, 8.000E-01
    14, 5.504E-02, 3.470E-02, 8.000E-01
    15, 4.189E-02, 3.008E-02, 8.000E-01
    16, 3.882E-02, 2.816E-02, 8.000E-01
    17, 3.189E-02, 2.563E-02, 8.000E-01
    18, 3.013E-02, 2.436E-02, 8.000E-01
    19, 2.615E-02, 2.277E-02, 8.000E-01
    20, 2.473E-02, 2.165E-02, 8.000E-01
    21, 2.133E-02, 2.053E-02, 8.000E-01
    22, 2.110E-02, 1.964E-02, 8.000E-01
    23, 2.062E-02, 1.877E-02, 8.000E-01
    24, 1.868E-02, 1.801E-02, 8.000E-01
    25, 1.770E-02, 1.731E-02, 8.000E-01
    26, 1.679E-02, 1.666E-02, 8.000E-01
    27, 1.677E-02, 1.606E-02, 8.000E-01
    28, 1.538E-02, 1.550E-02, 8.000E-01
    29, 1.502E-02, 1.498E-02, 8.000E-01
    30, 1.419E-02, 1.448E-02, 8.000E-01
    31, 1.408E-02, 1.401E-02, 8.000E-01
    32, 1.320E-02, 1.356E-02, 8.000E-01
    33, 1.294E-02, 1.315E-02, 8.000E-01
    34, 1.232E-02, 1.274E-02, 8.000E-01
    35, 1.212E-02, 1.236E-02, 8.000E-01
    36, 1.156E-02, 1.198E-02, 8.000E-01
    37, 1.130E-02, 1.163E-02, 8.000E-01
    38, 1.086E-02, 1.129E-02, 8.000E-01
    39, 1.062E-02, 1.096E-02, 8.000E-01
    40, 1.022E-02, 1.064E-02, 8.000E-01
    41, 9.971E-03, 1.034E-02, 8.000E-01
    42, 9.632E-03, 1.005E-02, 8.000E-01
    43, 9.393E-03, 9.761E-03, 8.000E-01
    44, 9.086E-03, 9.484E-03, 8.000E-01
    45, 8.851E-03, 9.217E-03, 8.000E-01
    46, 8.577E-03, 8.958E-03, 8.000E-01
    47, 8.352E-03, 8.708E-03, 8.000E-01
    48, 8.101E-03, 8.464E-03, 8.000E-01
    49, 7.884E-03, 8.228E-03, 8.000E-01
    50, 7.653E-03, 7.999E-03, 8.000E-01
    51, 7.447E-03, 7.777E-03, 8.000E-01
    52, 7.232E-03, 7.561E-03, 8.000E-01
    53, 7.036E-03, 7.351E-03, 8.000E-01
    54, 6.836E-03, 7.147E-03, 8.000E-01
    55, 6.649E-03, 6.949E-03, 8.000E-01
    56, 6.462E-03, 6.757E-03, 8.000E-01
    57, 6.285E-03, 6.570E-03, 8.000E-01
    58, 6.109E-03, 6.389E-03, 8.000E-01
    59, 5.941E-03, 6.212E-03, 8.000E-01
    60, 5.776E-03, 6.040E-03, 8.000E-01
    61, 5.617E-03, 5.874E-03, 8.000E-01
    62, 5.461E-03, 5.711E-03, 8.000E-01
    63, 5.311E-03, 5.554E-03, 8.000E-01
    64, 5.164E-03, 5.400E-03, 8.000E-01
    65, 5.021E-03, 5.251E-03, 8.000E-01
    66, 4.883E-03, 5.106E-03, 8.000E-01
    67, 4.748E-03, 4.966E-03, 8.000E-01
    68, 4.617E-03, 4.829E-03, 8.000E-01
    69, 4.490E-03, 4.695E-03, 8.000E-01
    70, 4.366E-03, 4.566E-03, 8.000E-01
    71, 4.245E-03, 4.440E-03, 8.000E-01
    72, 4.128E-03, 4.317E-03, 8.000E-01
    73, 4.014E-03, 4.198E-03, 8.000E-01
    74, 3.903E-03, 4.083E-03, 8.000E-01
    75, 3.796E-03, 3.970E-03, 8.000E-01
    76, 3.691E-03, 3.861E-03, 8.000E-01
    77, 3.589E-03, 3.754E-03, 8.000E-01
    78, 3.490E-03, 3.651E-03, 8.000E-01
    79, 3.394E-03, 3.550E-03, 8.000E-01
    80, 3.300E-03, 3.452E-03, 8.000E-01
    81, 3.209E-03, 3.357E-03, 8.000E-01
    82, 3.121E-03, 3.264E-03, 8.000E-01
    83, 3.035E-03, 3.174E-03, 8.000E-01
    84, 2.951E-03, 3.087E-03, 8.000E-01
    85, 2.870E-03, 3.002E-03, 8.000E-01
    86, 2.791E-03, 2.919E-03, 8.000E-01
    87, 2.714E-03, 2.838E-03, 8.000E-01
    88, 2.639E-03, 2.760E-03, 8.000E-01
    89, 2.566E-03, 2.684E-03, 8.000E-01
    90, 2.495E-03, 2.610E-03, 8.000E-01
    91, 2.427E-03, 2.538E-03, 8.000E-01
    92, 2.360E-03, 2.468E-03, 8.000E-01
    93, 2.295E-03, 2.400E-03, 8.000E-01
    94, 2.231E-03, 2.334E-03, 8.000E-01
    95, 2.170E-03, 2.269E-03, 8.000E-01
    96, 2.110E-03, 2.207E-03, 8.000E-01
    97, 2.052E-03, 2.146E-03, 8.000E-01
    98, 1.995E-03, 2.087E-03, 8.000E-01
    99, 1.940E-03, 2.029E-03, 8.000E-01
   100, 1.887E-03, 1.973E-03, 8.000E-01
   101, 1.835E-03, 1.919E-03, 8.000E-01
   102, 1.784E-03, 1.866E-03, 8.000E-01
   103, 1.735E-03, 1.815E-03, 8.000E-01
   104, 1.687E-03, 1.765E-03, 8.000E-01
   105, 1.641E-03, 1.716E-03, 8.000E-01
   106, 1.595E-03, 1.669E-03, 8.000E-01
   107, 1.551E-03, 1.623E-03, 8.000E-01
   108, 1.509E-03, 1.578E-03, 8.000E-01
   109, 1.467E-03, 1.534E-03, 8.000E-01
   110, 1.427E-03, 1.492E-03, 8.000E-01
   111, 1.387E-03, 1.451E-03, 8.000E-01
   112, 1.349E-03, 1.411E-03, 8.000E-01
   113, 1.312E-03, 1.372E-03, 8.000E-01
   114, 1.276E-03, 1.334E-03, 8.000E-01
   115, 1.240E-03, 1.297E-03, 8.000E-01
   116, 1.206E-03, 1.262E-03, 8.000E-01
   117, 1.173E-03, 1.227E-03, 8.000E-01
   118, 1.141E-03, 1.193E-03, 8.000E-01
   119, 1.109E-03, 1.160E-03, 8.000E-01
   120, 1.079E-03, 1.128E-03, 8.000E-01
   121, 1.049E-03, 1.097E-03, 8.000E-01
   122, 1.020E-03, 1.067E-03, 8.000E-01
   123, 9.918E-04, 1.037E-03, 8.000E-01
   124, 9.644E-04, 1.009E-03, 8.000E-01
   125, 9.378E-04, 9.809E-04, 8.000E-01
   126, 9.120E-04, 9.538E-04, 8.000E-01
   127, 8.868E-04, 9.275E-04, 8.000E-01
   128, 8.624E-04, 9.020E-04, 8.000E-01
   129, 8.386E-04, 8.771E-04, 8.000E-01
   130, 8.155E-04, 8.529E-04, 8.000E-01
   131, 7.930E-04, 8.294E-04, 8.000E-01
   132, 7.711E-04, 8.065E-04, 8.000E-01
   133, 7.499E-04, 7.843E-04, 8.000E-01
   134, 7.292E-04, 7.627E-04, 8.000E-01
   135, 7.091E-04, 7.416E-04, 8.000E-01
   136, 6.895E-04, 7.212E-04, 8.000E-01
   137, 6.705E-04, 7.013E-04, 8.000E-01
   138, 6.520E-04, 6.820E-04, 8.000E-01
   139, 6.340E-04, 6.631E-04, 8.000E-01
   140, 6.166E-04, 6.449E-04, 8.000E-01
   141, 5.996E-04, 6.271E-04, 8.000E-01
   142, 5.830E-04, 6.098E-04, 8.000E-01
   143, 5.669E-04, 5.930E-04, 8.000E-01
   144, 5.513E-04, 5.766E-04, 8.000E-01
   145, 5.361E-04, 5.607E-04, 8.000E-01
   146, 5.213E-04, 5.453E-04, 8.000E-01
   147, 5.070E-04, 5.302E-04, 8.000E-01
   148, 4.930E-04, 5.156E-04, 8.000E-01
