 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 1.323E+00, 4.364E-01, 8.000E-01
     2, 8.354E-01, 6.571E-02, 8.000E-01
     3, 1.719E-01, 1.166E-01, 8.000E-01
     4, 1.183E+00, 6.645E-02, 8.000E-01
     5, 2.376E-01, 7.168E-02, 8.000E-01
     6, 4.064E-01, 2.227E-02, 8.000E-01
     7, 8.428E-02, 1.445E-02, 8.000E-01
     8, 1.525E-01, 7.996E-03, 8.000E-01
     9, 3.589E-02, 7.776E-03, 8.000E-01
    10, 1.021E-01, 4.773E-03, 8.000E-01
    11, 2.787E-02, 6.178E-03, 8.000E-01
    12, 6.801E-02, 3.128E-03, 8.000E-01
    13, 2.613E-02, 6.479E-03, 8.000E-01
    14, 4.581E-02, 2.323E-03, 8.000E-01
    15, 2.953E-02, 7.866E-03, 8.000E-01
    16, 3.436E-02, 2.170E-03, 8.000E-01
    17, 3.667E-02, 9.999E-03, 8.000E-01
    18, 3.221E-02, 2.481E-03, 8.000E-01
    19, 4.687E-02, 1.286E-02, 8.000E-01
    20, 3.687E-02, 3.097E-03, 8.000E-01
    21, 6.036E-02, 1.658E-02, 8.000E-01
    22, 4.602E-02, 3.965E-03, 8.000E-01
    23, 7.787E-02, 2.140E-02, 8.000E-01
    24, 5.892E-02, 5.108E-03, 8.000E-01
    25, 1.005E-01, 2.762E-02, 8.000E-01
    26, 7.590E-02, 6.590E-03, 8.000E-01
    27, 1.297E-01, 3.566E-02, 8.000E-01
    28, 9.793E-02, 8.506E-03, 8.000E-01
    29, 1.675E-01, 4.603E-02, 8.000E-01
    30, 1.264E-01, 1.098E-02, 8.000E-01
    31, 2.162E-01, 5.942E-02, 8.000E-01
    32, 1.632E-01, 1.417E-02, 8.000E-01
    33, 2.790E-01, 7.670E-02, 8.000E-01
    34, 2.106E-01, 1.829E-02, 8.000E-01
    35, 3.602E-01, 9.901E-02, 8.000E-01
    36, 2.719E-01, 2.362E-02, 8.000E-01
