 method
 BSSOR
 iteration,||dx||,||err||,relaxation
     1, 1.128E+00, 2.342E-01, 8.000E-01
     2, 3.768E-01, 1.133E-01, 8.000E-01
     3, 1.105E+00, 9.984E-02, 8.000E-01
     4, 3.025E-01, 7.572E-02, 8.000E-01
     5, 3.030E-01, 8.307E-02, 8.000E-01
     6, 2.003E-01, 7.361E-02, 8.000E-01
     7, 2.909E-01, 6.046E-02, 8.000E-01
     8, 1.660E-01, 5.204E-02, 8.000E-01
     9, 2.958E-01, 3.702E-02, 8.000E-01
    10, 1.247E-01, 3.468E-02, 8.000E-01
    11, 1.327E-01, 2.549E-02, 8.000E-01
    12, 7.946E-02, 2.304E-02, 8.000E-01
    13, 9.439E-02, 1.827E-02, 8.000E-01
    14, 5.504E-02, 1.735E-02, 8.000E-01
    15, 4.189E-02, 1.504E-02, 8.000E-01
    16, 3.882E-02, 1.408E-02, 8.000E-01
    17, 3.189E-02, 1.281E-02, 8.000E-01
    18, 3.013E-02, 1.218E-02, 8.000E-01
    19, 2.615E-02, 1.138E-02, 8.000E-01
    20, 2.473E-02, 1.082E-02, 8.000E-01
    21, 2.133E-02, 1.026E-02, 8.000E-01
    22, 2.110E-02, 9.816E-03, 8.000E-01
    23, 2.062E-02, 9.384E-03, 8.000E-01
    24, 1.868E-02, 9.004E-03, 8.000E-01
    25, 1.770E-02, 8.653E-03, 8.000E-01
    26, 1.679E-02, 8.328E-03, 8.000E-01
    27, 1.677E-02, 8.031E-03, 8.000E-01
    28, 1.538E-02, 7.747E-03, 8.000E-01
    29, 1.502E-02, 7.488E-03, 8.000E-01
    30, 1.419E-02, 7.237E-03, 8.000E-01
    31, 1.408E-02, 7.006E-03, 8.000E-01
    32, 1.320E-02, 6.781E-03, 8.000E-01
    33, 1.294E-02, 6.572E-03, 8.000E-01
    34, 1.232E-02, 6.368E-03, 8.000E-01
    35, 1.212E-02, 6.177E-03, 8.000E-01
    36, 1.156E-02, 5.991E-03, 8.000E-01
    37, 1.130E-02, 5.815E-03, 8.000E-01
    38, 1.086E-02, 5.644E-03, 8.000E-01
    39, 1.062E-02, 5.480E-03, 8.000E-01
    40, 1.022E-02, 5.322E-03, 8.000E-01
    41, 9.971E-03, 5.169E-03, 8.000E-01
    42, 9.632E-03, 5.022E-03, 8.000E-01
    43, 9.393E-03, 4.879E-03, 8.000E-01
    44, 9.086E-03, 4.741E-03, 8.000E-01
    45, 8.851E-03, 4.608E-03, 8.000E-01
    46, 8.577E-03, 4.478E-03, 8.000E-01
    47, 8.352E-03, 4.353E-03, 8.000E-01
    48, 8.101E-03, 4.231E-03, 8.000E-01
    49, 7.884E-03, 4.113E-03, 8.000E-01
    50, 7.653E-03, 3.999E-03, 8.000E-01
    51, 7.447E-03, 3.888E-03, 8.000E-01
    52, 7.232E-03, 3.780E-03, 8.000E-01
    53, 7.036E-03, 3.675E-03, 8.000E-01
    54, 6.836E-03, 3.573E-03, 8.000E-01
    55, 6.649E-03, 3.474E-03, 8.000E-01
    56, 6.462E-03, 3.378E-03, 8.000E-01
    57, 6.285E-03, 3.285E-03, 8.000E-01
    58, 6.109E-03, 3.194E-03, 8.000E-01
    59, 5.941E-03, 3.105E-03, 8.000E-01
    60, 5.776E-03, 3.020E-03, 8.000E-01
    61, 5.617E-03, 2.936E-03, 8.000E-01
    62, 5.461E-03, 2.855E-03, 8.000E-01
    63, 5.311E-03, 2.776E-03, 8.000E-01
    64, 5.164E-03, 2.700E-03, 8.000E-01
    65, 5.021E-03, 2.625E-03, 8.000E-01
    66, 4.883E-03, 2.553E-03, 8.000E-01
    67, 4.748E-03, 2.482E-03, 8.000E-01
    68, 4.617E-03, 2.414E-03, 8.000E-01
    69, 4.490E-03, 2.347E-03, 8.000E-01
    70, 4.366E-03, 2.283E-03, 8.000E-01
