 method
 GMRES
 N=         332
 iteration,||err||
     1, 1.736E-01
     2, 1.596E-01
     3, 1.596E-01
     4, 1.523E-01
     5, 1.465E-01
     6, 1.395E-01
     7, 1.147E-01
     8, 9.718E-02
     9, 7.911E-02
    10, 7.021E-02
    11, 6.533E-02
    12, 6.474E-02
    13, 6.433E-02
    14, 6.423E-02
    15, 6.365E-02
    16, 6.363E-02
    17, 6.359E-02
    18, 6.350E-02
    19, 6.139E-02
    20, 5.693E-02
    21, 5.112E-02
    22, 4.479E-02
    23, 4.292E-02
    24, 4.250E-02
    25, 4.248E-02
    26, 4.219E-02
    27, 4.219E-02
    28, 4.213E-02
    29, 4.146E-02
    30, 4.118E-02
    31, 4.053E-02
    32, 4.049E-02
    33, 4.044E-02
    34, 4.037E-02
    35, 4.037E-02
    36, 4.037E-02
    37, 4.037E-02
    38, 4.034E-02
    39, 4.034E-02
    40, 4.034E-02
    41, 4.032E-02
    42, 4.032E-02
    43, 4.032E-02
    44, 4.030E-02
    45, 4.028E-02
    46, 4.020E-02
    47, 4.014E-02
    48, 3.998E-02
    49, 3.965E-02
    50, 3.944E-02
    51, 3.924E-02
    52, 3.907E-02
    53, 3.866E-02
    54, 3.837E-02
    55, 3.819E-02
    56, 3.779E-02
    57, 3.770E-02
    58, 3.764E-02
    59, 3.764E-02
    60, 3.762E-02
    61, 3.744E-02
    62, 3.729E-02
    63, 3.727E-02
    64, 3.726E-02
    65, 3.723E-02
    66, 3.711E-02
    67, 3.708E-02
    68, 3.708E-02
    69, 3.706E-02
    70, 3.706E-02
    71, 3.706E-02
    72, 3.703E-02
    73, 3.703E-02
    74, 3.703E-02
    75, 3.702E-02
    76, 3.702E-02
    77, 3.698E-02
    78, 3.693E-02
    79, 3.693E-02
    80, 3.691E-02
    81, 3.690E-02
    82, 3.688E-02
    83, 3.688E-02
    84, 3.687E-02
    85, 3.687E-02
    86, 3.687E-02
    87, 3.685E-02
    88, 3.685E-02
    89, 3.685E-02
    90, 3.684E-02
    91, 3.676E-02
    92, 3.667E-02
    93, 3.667E-02
    94, 3.664E-02
    95, 3.664E-02
    96, 3.652E-02
    97, 3.651E-02
    98, 3.644E-02
    99, 3.628E-02
   100, 3.627E-02
   101, 3.627E-02
   102, 3.627E-02
   103, 3.624E-02
   104, 3.622E-02
   105, 3.603E-02
   106, 3.586E-02
   107, 3.577E-02
   108, 3.577E-02
   109, 3.575E-02
   110, 3.570E-02
   111, 3.570E-02
   112, 3.569E-02
   113, 3.568E-02
   114, 3.567E-02
   115, 3.567E-02
   116, 3.562E-02
   117, 3.561E-02
   118, 3.560E-02
   119, 3.559E-02
   120, 3.552E-02
   121, 3.551E-02
   122, 3.551E-02
   123, 3.550E-02
   124, 3.550E-02
   125, 3.550E-02
   126, 3.543E-02
   127, 3.541E-02
   128, 3.540E-02
   129, 3.537E-02
   130, 3.536E-02
   131, 3.534E-02
   132, 3.532E-02
   133, 3.520E-02
   134, 3.518E-02
   135, 3.518E-02
   136, 3.515E-02
   137, 3.514E-02
   138, 3.514E-02
   139, 3.513E-02
