 method
 GMRES
 N=         332
 iteration,||err||
     1, 3.473E-01
     2, 3.193E-01
     3, 3.193E-01
     4, 3.046E-01
     5, 2.932E-01
     6, 2.792E-01
     7, 2.295E-01
     8, 1.944E-01
     9, 1.583E-01
    10, 1.405E-01
    11, 1.307E-01
    12, 1.295E-01
    13, 1.287E-01
    14, 1.285E-01
    15, 1.273E-01
    16, 1.273E-01
    17, 1.272E-01
    18, 1.271E-01
    19, 1.228E-01
    20, 1.139E-01
    21, 1.023E-01
    22, 8.962E-02
    23, 8.587E-02
    24, 8.503E-02
    25, 8.499E-02
    26, 8.442E-02
    27, 8.442E-02
    28, 8.429E-02
    29, 8.295E-02
    30, 8.240E-02
    31, 8.109E-02
    32, 8.101E-02
    33, 8.092E-02
    34, 8.078E-02
    35, 8.078E-02
    36, 8.078E-02
    37, 8.077E-02
    38, 8.072E-02
    39, 8.072E-02
    40, 8.072E-02
    41, 8.068E-02
    42, 8.067E-02
    43, 8.067E-02
    44, 8.063E-02
    45, 8.059E-02
    46, 8.044E-02
    47, 8.031E-02
    48, 7.999E-02
    49, 7.934E-02
    50, 7.892E-02
    51, 7.850E-02
    52, 7.817E-02
    53, 7.735E-02
    54, 7.677E-02
    55, 7.640E-02
    56, 7.562E-02
    57, 7.543E-02
    58, 7.531E-02
    59, 7.531E-02
    60, 7.527E-02
    61, 7.492E-02
    62, 7.460E-02
    63, 7.457E-02
    64, 7.455E-02
    65, 7.449E-02
    66, 7.425E-02
    67, 7.418E-02
    68, 7.418E-02
    69, 7.416E-02
    70, 7.416E-02
    71, 7.414E-02
    72, 7.409E-02
    73, 7.409E-02
    74, 7.409E-02
    75, 7.408E-02
    76, 7.406E-02
    77, 7.400E-02
    78, 7.390E-02
    79, 7.390E-02
    80, 7.386E-02
    81, 7.384E-02
    82, 7.379E-02
    83, 7.378E-02
    84, 7.378E-02
    85, 7.377E-02
    86, 7.376E-02
    87, 7.374E-02
    88, 7.374E-02
    89, 7.374E-02
    90, 7.372E-02
    91, 7.355E-02
    92, 7.338E-02
    93, 7.337E-02
    94, 7.331E-02
    95, 7.331E-02
    96, 7.308E-02
    97, 7.305E-02
    98, 7.291E-02
    99, 7.258E-02
   100, 7.258E-02
   101, 7.258E-02
   102, 7.257E-02
   103, 7.251E-02
   104, 7.248E-02
   105, 7.210E-02
   106, 7.176E-02
   107, 7.156E-02
   108, 7.156E-02
   109, 7.152E-02
   110, 7.143E-02
   111, 7.143E-02
   112, 7.140E-02
   113, 7.140E-02
   114, 7.138E-02
   115, 7.137E-02
   116, 7.128E-02
   117, 7.126E-02
   118, 7.124E-02
   119, 7.120E-02
   120, 7.107E-02
   121, 7.106E-02
   122, 7.105E-02
   123, 7.104E-02
   124, 7.103E-02
   125, 7.102E-02
   126, 7.089E-02
   127, 7.084E-02
   128, 7.083E-02
   129, 7.077E-02
   130, 7.075E-02
   131, 7.072E-02
   132, 7.066E-02
   133, 7.044E-02
   134, 7.038E-02
   135, 7.038E-02
   136, 7.033E-02
   137, 7.031E-02
   138, 7.030E-02
   139, 7.029E-02
   140, 7.028E-02
   141, 7.028E-02
   142, 7.028E-02
   143, 7.026E-02
   144, 7.026E-02
   145, 7.021E-02
   146, 7.020E-02
   147, 7.014E-02
   148, 7.010E-02
   149, 7.010E-02
   150, 7.007E-02
   151, 7.006E-02
   152, 7.006E-02
   153, 7.000E-02
   154, 6.975E-02
   155, 6.953E-02
   156, 6.945E-02
   157, 6.932E-02
   158, 6.906E-02
   159, 6.905E-02
   160, 6.903E-02
   161, 6.903E-02
   162, 6.903E-02
   163, 6.900E-02
   164, 6.900E-02
   165, 6.900E-02
   166, 6.899E-02
   167, 6.899E-02
   168, 6.898E-02
   169, 6.895E-02
   170, 6.869E-02
   171, 6.864E-02
   172, 6.864E-02
   173, 6.864E-02
   174, 6.860E-02
   175, 6.854E-02
   176, 6.853E-02
   177, 6.850E-02
   178, 6.850E-02
   179, 6.850E-02
   180, 6.823E-02
   181, 6.747E-02
   182, 6.714E-02
   183, 6.712E-02
   184, 6.706E-02
   185, 6.704E-02
   186, 6.703E-02
   187, 6.703E-02
   188, 6.692E-02
   189, 6.692E-02
   190, 6.681E-02
   191, 6.676E-02
   192, 6.662E-02
   193, 6.661E-02
   194, 6.626E-02
   195, 6.625E-02
   196, 6.593E-02
   197, 6.442E-02
   198, 6.225E-02
   199, 5.994E-02
   200, 5.842E-02
   201, 5.806E-02
   202, 5.640E-02
   203, 4.564E-02
   204, 4.037E-02
   205, 3.405E-02
   206, 2.776E-02
   207, 2.675E-02
   208, 2.589E-02
   209, 2.552E-02
   210, 2.550E-02
   211, 2.549E-02
   212, 2.549E-02
   213, 2.548E-02
   214, 2.545E-02
   215, 2.542E-02
   216, 2.539E-02
   217, 2.534E-02
   218, 2.533E-02
   219, 2.533E-02
   220, 2.530E-02
   221, 2.431E-02
   222, 1.975E-02
   223, 1.538E-02
   224, 1.363E-02
   225, 1.185E-02
   226, 1.136E-02
   227, 1.128E-02
   228, 1.126E-02
   229, 1.126E-02
   230, 1.126E-02
   231, 1.125E-02
   232, 1.122E-02
   233, 1.100E-02
   234, 1.067E-02
   235, 9.503E-03
   236, 9.202E-03
   237, 9.127E-03
   238, 9.092E-03
   239, 9.090E-03
   240, 9.077E-03
   241, 9.077E-03
   242, 9.072E-03
   243, 9.066E-03
   244, 9.062E-03
   245, 8.912E-03
   246, 7.306E-03
   247, 5.056E-03
   248, 4.619E-03
   249, 3.713E-03
   250, 3.616E-03
   251, 3.602E-03
   252, 3.601E-03
   253, 3.581E-03
   254, 3.550E-03
   255, 3.519E-03
   256, 3.493E-03
   257, 3.473E-03
   258, 3.473E-03
   259, 3.471E-03
   260, 3.471E-03
   261, 3.462E-03
   262, 3.452E-03
   263, 3.452E-03
   264, 3.452E-03
   265, 3.451E-03
   266, 3.451E-03
   267, 3.306E-03
   268, 3.038E-03
   269, 2.794E-03
   270, 2.748E-03
   271, 2.738E-03
   272, 2.737E-03
   273, 2.730E-03
   274, 2.674E-03
   275, 2.663E-03
   276, 2.588E-03
   277, 2.417E-03
   278, 2.312E-03
   279, 2.273E-03
   280, 2.267E-03
   281, 2.265E-03
   282, 2.264E-03
   283, 2.264E-03
   284, 2.261E-03
   285, 2.257E-03
   286, 2.257E-03
   287, 2.249E-03
   288, 2.219E-03
   289, 1.981E-03
   290, 1.697E-03
   291, 1.513E-03
   292, 1.503E-03
   293, 1.502E-03
   294, 1.501E-03
   295, 1.500E-03
