 method
 GMRES
 N=         332
 iteration,||err||
     1, 1.069E-01
     2, 1.065E-01
     3, 2.710E-02
     4, 2.432E-02
     5, 2.276E-02
     6, 2.198E-02
     7, 2.184E-02
     8, 1.997E-02
     9, 1.993E-02
    10, 1.804E-02
    11, 1.640E-02
    12, 1.555E-02
    13, 1.518E-02
    14, 1.502E-02
    15, 1.468E-02
    16, 1.466E-02
    17, 1.464E-02
    18, 1.360E-02
    19, 1.211E-02
    20, 9.769E-03
    21, 7.647E-03
    22, 6.369E-03
    23, 4.838E-03
    24, 4.550E-03
    25, 4.340E-03
    26, 4.328E-03
    27, 4.324E-03
    28, 4.297E-03
    29, 4.116E-03
    30, 3.880E-03
    31, 2.758E-03
    32, 2.243E-03
    33, 1.607E-03
    34, 1.084E-03
    35, 7.735E-04
    36, 5.519E-04
    37, 3.863E-04
    38, 2.723E-04
    39, 2.343E-04
    40, 2.257E-04
    41, 1.648E-04
    42, 1.095E-04
    43, 8.023E-05
    44, 5.651E-05
    45, 4.280E-05
    46, 3.406E-05
    47, 2.661E-05
    48, 2.098E-05
    49, 1.665E-05
    50, 1.312E-05
    51, 1.019E-05
    52, 7.973E-06
    53, 6.268E-06
    54, 4.908E-06
    55, 3.691E-06
    56, 2.921E-06
    57, 2.078E-06
    58, 1.501E-06
    59, 1.082E-06
    60, 8.518E-07
    61, 5.907E-07
    62, 4.259E-07
    63, 3.127E-07
    64, 2.336E-07
    65, 1.647E-07
    66, 9.539E-08
    67, 7.423E-08
    68, 5.447E-08
    69, 4.090E-08
    70, 2.911E-08
    71, 2.465E-08
    72, 2.160E-08
    73, 1.998E-08
    74, 1.877E-08
    75, 1.839E-08
    76, 1.815E-08
    77, 1.810E-08
    78, 1.804E-08
    79, 1.804E-08
    80, 1.803E-08
    81, 1.803E-08
    82, 1.803E-08
    83, 1.803E-08
    84, 1.802E-08
    85, 1.802E-08
    86, 1.802E-08
    87, 1.802E-08
    88, 1.802E-08
    89, 1.802E-08
    90, 1.802E-08
    91, 1.802E-08
    92, 1.801E-08
    93, 1.801E-08
    94, 1.800E-08
    95, 1.800E-08
    96, 1.798E-08
    97, 1.794E-08
    98, 1.779E-08
    99, 1.750E-08
   100, 1.653E-08
   101, 1.437E-08
   102, 1.205E-08
   103, 8.628E-09
   104, 6.517E-09
   105, 4.684E-09
   106, 4.154E-09
   107, 3.874E-09
   108, 3.689E-09
   109, 3.637E-09
   110, 3.619E-09
   111, 3.618E-09
   112, 3.617E-09
   113, 3.617E-09
   114, 3.616E-09
   115, 3.615E-09
   116, 3.614E-09
   117, 3.614E-09
   118, 3.614E-09
   119, 3.613E-09
   120, 3.613E-09
   121, 3.613E-09
   122, 3.613E-09
   123, 3.611E-09
   124, 3.611E-09
   125, 3.604E-09
   126, 3.601E-09
   127, 3.576E-09
   128, 3.452E-09
   129, 3.269E-09
   130, 2.702E-09
   131, 1.970E-09
   132, 1.409E-09
   133, 1.211E-09
   134, 1.157E-09
   135, 1.126E-09
   136, 1.125E-09
   137, 1.122E-09
   138, 1.122E-09
   139, 1.121E-09
   140, 1.121E-09
   141, 1.121E-09
   142, 1.121E-09
   143, 1.121E-09
   144, 1.121E-09
   145, 1.120E-09
   146, 1.120E-09
   147, 1.120E-09
   148, 1.120E-09
   149, 1.118E-09
   150, 1.118E-09
   151, 1.112E-09
   152, 1.090E-09
   153, 1.057E-09
   154, 9.539E-10
   155, 7.818E-10
   156, 5.580E-10
   157, 3.992E-10
   158, 3.777E-10
   159, 3.650E-10
   160, 3.617E-10
   161, 3.614E-10
   162, 3.603E-10
   163, 3.599E-10
   164, 3.595E-10
   165, 3.588E-10
   166, 3.588E-10
   167, 3.581E-10
   168, 3.573E-10
   169, 3.570E-10
   170, 3.570E-10
   171, 3.569E-10
   172, 3.569E-10
   173, 3.568E-10
   174, 3.568E-10
   175, 3.560E-10
   176, 3.548E-10
   177, 3.502E-10
   178, 3.432E-10
   179, 3.341E-10
   180, 3.319E-10
   181, 3.318E-10
   182, 3.316E-10
   183, 3.316E-10
   184, 3.312E-10
   185, 3.310E-10
   186, 3.308E-10
   187, 3.308E-10
   188, 3.307E-10
   189, 3.306E-10
   190, 3.305E-10
   191, 3.304E-10
   192, 3.304E-10
   193, 3.304E-10
   194, 3.304E-10
   195, 3.304E-10
   196, 3.304E-10
   197, 3.303E-10
   198, 3.303E-10
   199, 3.302E-10
   200, 3.301E-10
   201, 3.300E-10
   202, 3.300E-10
   203, 3.300E-10
   204, 3.300E-10
   205, 3.300E-10
   206, 3.300E-10
   207, 3.300E-10
   208, 3.300E-10
   209, 3.299E-10
   210, 3.299E-10
   211, 3.298E-10
   212, 3.298E-10
   213, 3.298E-10
   214, 3.297E-10
   215, 3.297E-10
   216, 3.296E-10
   217, 3.295E-10
   218, 3.294E-10
   219, 3.289E-10
   220, 3.274E-10
   221, 3.059E-10
   222, 2.866E-10
   223, 2.576E-10
   224, 2.475E-10
   225, 2.425E-10
   226, 2.398E-10
   227, 2.397E-10
   228, 2.391E-10
   229, 2.390E-10
   230, 2.390E-10
   231, 2.390E-10
   232, 2.390E-10
   233, 2.390E-10
   234, 2.390E-10
   235, 2.390E-10
   236, 2.390E-10
   237, 2.390E-10
   238, 2.381E-10
   239, 2.378E-10
   240, 2.362E-10
   241, 2.289E-10
   242, 1.959E-10
   243, 1.546E-10
   244, 1.379E-10
