 method
 GMRES
 N=        5541
 iteration,||err||
     1, 9.188E-01
     2, 7.243E-01
     3, 7.235E-01
     4, 6.879E-01
     5, 5.336E-01
     6, 5.294E-01
     7, 5.159E-01
     8, 4.887E-01
     9, 4.880E-01
    10, 3.956E-01
    11, 3.775E-01
    12, 3.356E-01
    13, 3.218E-01
    14, 2.916E-01
    15, 2.526E-01
    16, 2.460E-01
    17, 2.304E-01
    18, 2.189E-01
    19, 2.118E-01
    20, 1.967E-01
    21, 1.750E-01
    22, 1.663E-01
    23, 1.659E-01
    24, 1.653E-01
    25, 1.617E-01
    26, 1.554E-01
    27, 1.543E-01
    28, 1.543E-01
    29, 1.538E-01
    30, 1.538E-01
    31, 1.538E-01
    32, 1.536E-01
    33, 1.514E-01
    34, 1.477E-01
    35, 1.473E-01
    36, 1.473E-01
    37, 1.441E-01
    38, 1.343E-01
    39, 1.330E-01
    40, 1.329E-01
    41, 1.327E-01
    42, 1.326E-01
    43, 1.315E-01
    44, 1.310E-01
    45, 1.310E-01
    46, 1.297E-01
    47, 1.295E-01
    48, 1.293E-01
    49, 1.290E-01
    50, 1.289E-01
    51, 1.288E-01
    52, 1.288E-01
    53, 1.286E-01
    54, 1.284E-01
    55, 1.283E-01
    56, 1.281E-01
    57, 1.276E-01
    58, 1.268E-01
    59, 1.254E-01
    60, 1.209E-01
    61, 1.190E-01
    62, 1.167E-01
    63, 1.145E-01
    64, 1.117E-01
    65, 1.044E-01
    66, 9.502E-02
    67, 8.197E-02
    68, 7.102E-02
    69, 6.382E-02
    70, 6.148E-02
    71, 6.040E-02
    72, 6.010E-02
    73, 6.004E-02
    74, 5.907E-02
    75, 5.672E-02
    76, 5.403E-02
    77, 5.072E-02
    78, 4.777E-02
    79, 4.463E-02
    80, 4.269E-02
    81, 4.169E-02
    82, 4.107E-02
    83, 4.046E-02
    84, 4.013E-02
    85, 3.997E-02
    86, 3.982E-02
    87, 3.969E-02
    88, 3.961E-02
    89, 3.959E-02
    90, 3.958E-02
    91, 3.958E-02
    92, 3.951E-02
    93, 3.951E-02
    94, 3.951E-02
    95, 3.949E-02
    96, 3.949E-02
    97, 3.949E-02
    98, 3.949E-02
    99, 3.948E-02
   100, 3.947E-02
   101, 3.946E-02
   102, 3.946E-02
   103, 3.939E-02
   104, 3.939E-02
   105, 3.936E-02
   106, 3.934E-02
   107, 3.932E-02
   108, 3.928E-02
   109, 3.920E-02
   110, 3.911E-02
   111, 3.876E-02
   112, 3.833E-02
   113, 3.780E-02
   114, 3.744E-02
   115, 3.720E-02
   116, 3.703E-02
   117, 3.695E-02
   118, 3.686E-02
   119, 3.686E-02
   120, 3.682E-02
   121, 3.681E-02
   122, 3.678E-02
   123, 3.678E-02
   124, 3.675E-02
   125, 3.674E-02
   126, 3.671E-02
   127, 3.670E-02
   128, 3.659E-02
   129, 3.651E-02
   130, 3.642E-02
   131, 3.639E-02
   132, 3.634E-02
   133, 3.631E-02
   134, 3.630E-02
   135, 3.630E-02
   136, 3.630E-02
   137, 3.630E-02
   138, 3.629E-02
   139, 3.628E-02
   140, 3.628E-02
   141, 3.624E-02
   142, 3.623E-02
   143, 3.618E-02
   144, 3.618E-02
   145, 3.613E-02
   146, 3.606E-02
   147, 3.602E-02
   148, 3.602E-02
   149, 3.601E-02
   150, 3.601E-02
   151, 3.595E-02
   152, 3.591E-02
   153, 3.581E-02
   154, 3.553E-02
   155, 3.522E-02
   156, 3.473E-02
   157, 3.429E-02
   158, 3.330E-02
   159, 3.238E-02
   160, 3.191E-02
   161, 3.173E-02
   162, 3.164E-02
   163, 3.161E-02
   164, 3.161E-02
   165, 3.161E-02
   166, 3.161E-02
   167, 3.161E-02
   168, 3.160E-02
   169, 3.160E-02
   170, 3.159E-02
   171, 3.159E-02
   172, 3.158E-02
   173, 3.158E-02
   174, 3.157E-02
   175, 3.155E-02
   176, 3.154E-02
   177, 3.154E-02
   178, 3.154E-02
   179, 3.152E-02
   180, 3.150E-02
   181, 3.148E-02
   182, 3.148E-02
   183, 3.146E-02
   184, 3.146E-02
   185, 3.146E-02
   186, 3.144E-02
   187, 3.142E-02
   188, 3.142E-02
   189, 3.140E-02
   190, 3.137E-02
   191, 3.137E-02
   192, 3.137E-02
   193, 3.134E-02
   194, 3.129E-02
   195, 3.124E-02
   196, 3.118E-02
   197, 3.110E-02
   198, 3.109E-02
   199, 3.109E-02
   200, 3.109E-02
   201, 3.104E-02
   202, 3.095E-02
   203, 3.073E-02
   204, 3.043E-02
   205, 3.004E-02
   206, 2.980E-02
   207, 2.963E-02
   208, 2.949E-02
   209, 2.934E-02
   210, 2.924E-02
   211, 2.923E-02
   212, 2.923E-02
   213, 2.922E-02
   214, 2.921E-02
   215, 2.915E-02
   216, 2.906E-02
   217, 2.903E-02
   218, 2.903E-02
   219, 2.903E-02
   220, 2.902E-02
   221, 2.900E-02
   222, 2.898E-02
   223, 2.898E-02
   224, 2.897E-02
   225, 2.895E-02
   226, 2.895E-02
   227, 2.894E-02
   228, 2.894E-02
   229, 2.894E-02
   230, 2.891E-02
   231, 2.886E-02
   232, 2.882E-02
   233, 2.875E-02
   234, 2.870E-02
   235, 2.866E-02
   236, 2.863E-02
   237, 2.860E-02
   238, 2.855E-02
   239, 2.849E-02
   240, 2.839E-02
   241, 2.832E-02
   242, 2.825E-02
   243, 2.820E-02
   244, 2.812E-02
   245, 2.777E-02
   246, 2.697E-02
   247, 2.571E-02
   248, 2.462E-02
   249, 2.417E-02
   250, 2.409E-02
   251, 2.409E-02
   252, 2.407E-02
   253, 2.400E-02
   254, 2.396E-02
   255, 2.396E-02
   256, 2.395E-02
   257, 2.395E-02
   258, 2.390E-02
   259, 2.379E-02
   260, 2.369E-02
   261, 2.364E-02
   262, 2.361E-02
   263, 2.360E-02
   264, 2.358E-02
   265, 2.358E-02
   266, 2.358E-02
   267, 2.358E-02
   268, 2.358E-02
   269, 2.356E-02
   270, 2.356E-02
   271, 2.355E-02
   272, 2.355E-02
   273, 2.355E-02
   274, 2.355E-02
   275, 2.355E-02
   276, 2.354E-02
   277, 2.351E-02
   278, 2.341E-02
   279, 2.325E-02
   280, 2.309E-02
   281, 2.303E-02
   282, 2.289E-02
   283, 2.257E-02
   284, 2.200E-02
   285, 2.101E-02
   286, 2.004E-02
   287, 1.948E-02
   288, 1.937E-02
   289, 1.937E-02
   290, 1.937E-02
   291, 1.936E-02
   292, 1.935E-02
   293, 1.934E-02
   294, 1.932E-02
   295, 1.929E-02
   296, 1.926E-02
   297, 1.925E-02
   298, 1.925E-02
   299, 1.924E-02
   300, 1.922E-02
   301, 1.920E-02
   302, 1.919E-02
   303, 1.919E-02
   304, 1.919E-02
   305, 1.919E-02
   306, 1.918E-02
   307, 1.916E-02
   308, 1.912E-02
   309, 1.909E-02
   310, 1.908E-02
   311, 1.908E-02
   312, 1.908E-02
   313, 1.907E-02
   314, 1.907E-02
   315, 1.907E-02
   316, 1.906E-02
   317, 1.900E-02
   318, 1.900E-02
   319, 1.900E-02
   320, 1.895E-02
   321, 1.883E-02
   322, 1.868E-02
   323, 1.847E-02
   324, 1.838E-02
   325, 1.832E-02
   326, 1.832E-02
   327, 1.831E-02
   328, 1.831E-02
   329, 1.830E-02
   330, 1.830E-02
   331, 1.829E-02
   332, 1.829E-02
   333, 1.828E-02
   334, 1.828E-02
   335, 1.828E-02
   336, 1.828E-02
   337, 1.828E-02
   338, 1.828E-02
   339, 1.824E-02
   340, 1.815E-02
   341, 1.810E-02
   342, 1.810E-02
   343, 1.809E-02
   344, 1.809E-02
   345, 1.808E-02
   346, 1.804E-02
   347, 1.799E-02
   348, 1.796E-02
   349, 1.791E-02
   350, 1.788E-02
   351, 1.786E-02
   352, 1.786E-02
   353, 1.786E-02
   354, 1.785E-02
   355, 1.779E-02
   356, 1.776E-02
   357, 1.776E-02
   358, 1.752E-02
   359, 1.696E-02
