 method
 GMRES
 N=        1285
 iteration,||err||
     1, 3.719E-01
     2, 3.033E-01
     3, 2.320E-01
     4, 2.044E-01
     5, 1.982E-01
     6, 1.791E-01
     7, 1.654E-01
     8, 1.544E-01
     9, 1.531E-01
    10, 1.473E-01
    11, 1.414E-01
    12, 1.399E-01
    13, 1.394E-01
    14, 1.351E-01
    15, 1.234E-01
    16, 1.184E-01
    17, 1.157E-01
    18, 1.152E-01
    19, 1.106E-01
    20, 9.788E-02
    21, 8.227E-02
    22, 7.890E-02
    23, 7.818E-02
    24, 7.744E-02
    25, 7.743E-02
    26, 7.651E-02
    27, 7.387E-02
    28, 7.115E-02
    29, 6.834E-02
    30, 6.543E-02
    31, 5.255E-02
    32, 4.575E-02
    33, 3.956E-02
    34, 3.716E-02
    35, 3.616E-02
    36, 3.593E-02
    37, 3.586E-02
    38, 3.585E-02
    39, 3.578E-02
    40, 3.569E-02
    41, 3.560E-02
    42, 3.522E-02
    43, 3.463E-02
    44, 3.417E-02
    45, 3.354E-02
    46, 3.270E-02
    47, 3.212E-02
    48, 3.190E-02
    49, 3.169E-02
    50, 3.164E-02
    51, 3.118E-02
    52, 2.916E-02
    53, 2.538E-02
    54, 2.104E-02
    55, 1.692E-02
    56, 1.342E-02
    57, 1.139E-02
    58, 1.018E-02
    59, 9.473E-03
    60, 8.924E-03
    61, 8.381E-03
    62, 7.916E-03
    63, 7.410E-03
    64, 6.816E-03
    65, 6.269E-03
    66, 5.627E-03
    67, 5.080E-03
    68, 4.305E-03
    69, 3.492E-03
    70, 2.579E-03
    71, 1.903E-03
    72, 1.416E-03
    73, 1.148E-03
    74, 9.960E-04
    75, 9.108E-04
    76, 8.311E-04
    77, 7.669E-04
    78, 7.061E-04
    79, 6.822E-04
    80, 6.693E-04
    81, 6.648E-04
    82, 6.627E-04
    83, 6.612E-04
    84, 6.608E-04
    85, 6.586E-04
    86, 6.511E-04
    87, 6.465E-04
    88, 6.432E-04
    89, 6.415E-04
    90, 6.388E-04
    91, 6.362E-04
    92, 6.344E-04
    93, 6.343E-04
    94, 6.342E-04
    95, 6.342E-04
    96, 6.310E-04
    97, 6.263E-04
    98, 6.146E-04
    99, 5.991E-04
   100, 5.650E-04
   101, 4.988E-04
   102, 4.084E-04
   103, 3.158E-04
   104, 2.180E-04
   105, 1.524E-04
   106, 1.025E-04
   107, 7.081E-05
   108, 5.109E-05
   109, 3.594E-05
   110, 2.627E-05
   111, 1.910E-05
   112, 1.416E-05
   113, 1.074E-05
   114, 8.720E-06
   115, 7.391E-06
   116, 6.657E-06
   117, 6.263E-06
   118, 5.964E-06
   119, 5.699E-06
   120, 5.311E-06
   121, 4.683E-06
   122, 3.823E-06
   123, 2.946E-06
   124, 2.126E-06
   125, 1.528E-06
   126, 1.083E-06
   127, 7.554E-07
   128, 5.671E-07
   129, 3.969E-07
   130, 2.881E-07
   131, 2.090E-07
   132, 1.460E-07
   133, 9.948E-08
   134, 6.741E-08
   135, 4.401E-08
   136, 3.236E-08
   137, 2.457E-08
   138, 2.057E-08
   139, 1.919E-08
   140, 1.853E-08
   141, 1.830E-08
   142, 1.822E-08
   143, 1.818E-08
   144, 1.818E-08
   145, 1.817E-08
   146, 1.817E-08
   147, 1.817E-08
   148, 1.817E-08
   149, 1.817E-08
   150, 1.817E-08
   151, 1.817E-08
   152, 1.817E-08
   153, 1.817E-08
   154, 1.817E-08
   155, 1.817E-08
   156, 1.817E-08
   157, 1.817E-08
   158, 1.816E-08
   159, 1.816E-08
   160, 1.816E-08
   161, 1.816E-08
   162, 1.816E-08
   163, 1.816E-08
   164, 1.816E-08
   165, 1.816E-08
   166, 1.816E-08
   167, 1.816E-08
   168, 1.816E-08
   169, 1.816E-08
   170, 1.815E-08
   171, 1.815E-08
   172, 1.813E-08
   173, 1.811E-08
   174, 1.808E-08
   175, 1.806E-08
   176, 1.804E-08
   177, 1.804E-08
   178, 1.803E-08
   179, 1.803E-08
   180, 1.803E-08
   181, 1.803E-08
   182, 1.803E-08
   183, 1.803E-08
   184, 1.803E-08
   185, 1.803E-08
   186, 1.803E-08
   187, 1.802E-08
   188, 1.801E-08
   189, 1.799E-08
   190, 1.793E-08
   191, 1.773E-08
   192, 1.728E-08
   193, 1.626E-08
   194, 1.421E-08
   195, 1.210E-08
   196, 8.779E-09
   197, 6.796E-09
   198, 5.835E-09
   199, 5.215E-09
   200, 4.918E-09
   201, 4.795E-09
   202, 4.724E-09
   203, 4.705E-09
   204, 4.701E-09
   205, 4.699E-09
   206, 4.698E-09
   207, 4.698E-09
   208, 4.697E-09
   209, 4.697E-09
