 method
 GMRES
 N=        1285
 iteration,||err||
     1, 1.859E-01
     2, 1.516E-01
     3, 1.160E-01
     4, 1.022E-01
     5, 9.907E-02
     6, 8.952E-02
     7, 8.268E-02
     8, 7.720E-02
     9, 7.656E-02
    10, 7.361E-02
    11, 7.068E-02
    12, 6.993E-02
    13, 6.970E-02
    14, 6.753E-02
    15, 6.169E-02
    16, 5.921E-02
    17, 5.786E-02
    18, 5.757E-02
    19, 5.528E-02
    20, 4.893E-02
    21, 4.113E-02
    22, 3.944E-02
    23, 3.908E-02
    24, 3.871E-02
    25, 3.871E-02
    26, 3.825E-02
    27, 3.693E-02
    28, 3.557E-02
    29, 3.416E-02
    30, 3.271E-02
    31, 2.627E-02
    32, 2.287E-02
    33, 1.978E-02
    34, 1.858E-02
    35, 1.808E-02
    36, 1.796E-02
    37, 1.793E-02
    38, 1.792E-02
    39, 1.789E-02
    40, 1.784E-02
    41, 1.780E-02
    42, 1.761E-02
    43, 1.731E-02
    44, 1.708E-02
    45, 1.676E-02
    46, 1.635E-02
    47, 1.606E-02
    48, 1.595E-02
    49, 1.584E-02
    50, 1.582E-02
    51, 1.559E-02
    52, 1.458E-02
    53, 1.269E-02
    54, 1.052E-02
    55, 8.460E-03
    56, 6.711E-03
    57, 5.694E-03
    58, 5.091E-03
    59, 4.736E-03
    60, 4.461E-03
    61, 4.190E-03
    62, 3.958E-03
    63, 3.705E-03
    64, 3.408E-03
    65, 3.134E-03
    66, 2.813E-03
    67, 2.540E-03
    68, 2.152E-03
    69, 1.745E-03
    70, 1.289E-03
    71, 9.513E-04
    72, 7.078E-04
    73, 5.741E-04
    74, 4.979E-04
    75, 4.553E-04
    76, 4.155E-04
    77, 3.834E-04
    78, 3.530E-04
    79, 3.410E-04
    80, 3.346E-04
    81, 3.323E-04
    82, 3.313E-04
    83, 3.306E-04
    84, 3.303E-04
    85, 3.292E-04
    86, 3.255E-04
    87, 3.232E-04
    88, 3.215E-04
    89, 3.207E-04
    90, 3.193E-04
    91, 3.180E-04
    92, 3.172E-04
    93, 3.171E-04
    94, 3.171E-04
    95, 3.171E-04
    96, 3.154E-04
    97, 3.131E-04
    98, 3.072E-04
    99, 2.995E-04
   100, 2.825E-04
   101, 2.494E-04
   102, 2.042E-04
   103, 1.579E-04
   104, 1.090E-04
   105, 7.621E-05
   106, 5.126E-05
   107, 3.540E-05
   108, 2.554E-05
   109, 1.797E-05
   110, 1.313E-05
   111, 9.549E-06
   112, 7.079E-06
   113, 5.371E-06
   114, 4.359E-06
   115, 3.695E-06
   116, 3.328E-06
   117, 3.131E-06
   118, 2.981E-06
   119, 2.849E-06
   120, 2.655E-06
   121, 2.341E-06
   122, 1.911E-06
   123, 1.473E-06
   124, 1.063E-06
   125, 7.640E-07
   126, 5.412E-07
   127, 3.776E-07
   128, 2.835E-07
   129, 1.984E-07
   130, 1.440E-07
   131, 1.045E-07
   132, 7.301E-08
   133, 4.973E-08
   134, 3.370E-08
   135, 2.200E-08
   136, 1.618E-08
   137, 1.228E-08
   138, 1.029E-08
   139, 9.591E-09
   140, 9.264E-09
   141, 9.147E-09
   142, 9.108E-09
   143, 9.090E-09
   144, 9.086E-09
   145, 9.083E-09
   146, 9.083E-09
   147, 9.083E-09
   148, 9.082E-09
   149, 9.082E-09
   150, 9.082E-09
   151, 9.082E-09
   152, 9.082E-09
   153, 9.082E-09
   154, 9.082E-09
   155, 9.082E-09
   156, 9.082E-09
   157, 9.081E-09
   158, 9.080E-09
   159, 9.080E-09
   160, 9.079E-09
   161, 9.079E-09
   162, 9.079E-09
   163, 9.079E-09
   164, 9.079E-09
   165, 9.079E-09
   166, 9.078E-09
   167, 9.078E-09
   168, 9.077E-09
   169, 9.077E-09
   170, 9.073E-09
   171, 9.071E-09
   172, 9.064E-09
   173, 9.054E-09
   174, 9.040E-09
   175, 9.029E-09
   176, 9.021E-09
   177, 9.018E-09
   178, 9.016E-09
   179, 9.016E-09
   180, 9.015E-09
   181, 9.015E-09
   182, 9.015E-09
   183, 9.015E-09
   184, 9.013E-09
   185, 9.013E-09
   186, 9.012E-09
   187, 9.010E-09
   188, 9.006E-09
   189, 8.995E-09
   190, 8.961E-09
   191, 8.865E-09
   192, 8.639E-09
   193, 8.131E-09
   194, 7.106E-09
   195, 6.048E-09
   196, 4.389E-09
   197, 3.398E-09
   198, 2.917E-09
   199, 2.607E-09
   200, 2.458E-09
   201, 2.397E-09
   202, 2.361E-09
   203, 2.352E-09
   204, 2.350E-09
   205, 2.349E-09
   206, 2.349E-09
   207, 2.348E-09
   208, 2.348E-09
   209, 2.348E-09
   210, 2.348E-09
   211, 2.348E-09
   212, 2.348E-09
   213, 2.347E-09
   214, 2.347E-09
   215, 2.347E-09
   216, 2.347E-09
   217, 2.347E-09
   218, 2.347E-09
   219, 2.347E-09
   220, 2.346E-09
   221, 2.346E-09
   222, 2.346E-09
   223, 2.346E-09
   224, 2.346E-09
   225, 2.345E-09
   226, 2.344E-09
   227, 2.342E-09
   228, 2.341E-09
   229, 2.341E-09
   230, 2.341E-09
   231, 2.340E-09
   232, 2.340E-09
