x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,CP_6,x/l_7,Cp_7
0.9503,0.106,0.94937,0.128,0.94999,0.137,0.94987,0.141,0.94977,0.14,0.94953,0.127,0.94946,0.101
0.81597,-0.058,0.81705,-0.033,0.81986,-0.021,0.82223,-0.012,0.84954,0.029,0.84934,0.031,0.84958,0.027
0.66593,-0.15,0.66698,-0.134,0.67008,-0.128,0.67216,-0.119,0.75003,-0.052,0.74963,-0.038,0.75002,-0.034
0.56588,-0.211,0.56705,-0.203,0.57033,-0.185,0.5723,-0.179,0.64988,-0.111,0.6498,-0.097,0.64957,-0.079
0.46599,-0.261,0.46706,-0.249,0.47037,-0.245,0.4722,-0.24,0.54983,-0.221,0.54955,-0.14,0.54967,-0.123
0.3658,-0.25,0.36705,-0.25,0.37009,-0.264,0.37235,-0.246,0.4499,-0.221,0.44998,-0.196,0.4497,-0.167
0.26579,-0.235,0.26705,-0.233,0.2701,-0.23,0.2723,-0.238,0.35016,-0.228,0.3499,-0.199,0.34973,-0.175
0.16594,-0.196,0.16699,-0.224,0.1701,-0.202,0.17242,-0.207,0.25012,-0.231,0.24997,-0.218,0.24976,-0.185
0.04993,-0.232,0.04909,-0.233,0.05016,-0.187,0.05017,-0.205,0.15054,-0.211,0.15016,-0.224,0.14996,-0.202
0.02002,-0.326,0.01922,-0.304,0.0201,-0.259,0.01999,-0.257,0.10029,-0.201,0.10019,-0.23,0.10039,-0.232
0.00593,0.334,0.0052,0.353,0.00591,0.396,0.00611,0.392,0.0655,-0.256,0.06521,-0.245,0.06536,-0.263
0.00034,0.794,0.00031,0.787,0.00042,0.726,0,0.77,0.0403,-0.256,0.03999,-0.285,0.04025,-0.376
0.00216,0.517,0.00108,0.467,0.00222,0.404,0.0021,0.535,0.0203,-0.28,0.01985,-0.314,0.01985,-0.438
0.00866,-0.064,0.00789,-0.175,0.00914,-0.276,0.00893,-0.27,0.00587,0.391,0.00567,0.342,0.00578,0.127
0.02037,-0.573,0.01906,-0.719,0.02036,-0.839,0.02012,-0.918,0.00057,0.757,0.00068,0.73,0.0005,0.671
0.03525,-0.538,0.03402,-0.619,0.03508,-0.691,0.0353,-0.724,0.00184,-0.106,0.0019,0.323,0.00193,0.307
0.06036,-0.358,0.05911,-0.409,0.06022,-0.456,0.06011,-0.46,0.00626,-0.11,0.00623,-0.082,0.0063,-0.185
0.09959,-0.302,0.09913,-0.361,0.10029,-0.404,0.10019,-0.405,0.01228,-0.547,0.01209,-0.535,0.01265,-0.615
0.15037,-0.287,0.14927,-0.333,0.15032,-0.366,0.15024,-0.374,0.02006,-0.886,0.01983,-0.949,0.02012,-0.935
0.20044,-0.301,0.19909,-0.351,0.20029,-0.357,0.20016,-0.36,0.02988,-0.816,0.02991,-0.805,0.02999,-0.832
