x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,Cp_6,x/l_7,Cp_7
0.9503,0.108,0.94937,0.127,0.94999,0.13,0.94987,0.13,0.94977,0.113,0.94953,0.083,0.94946,0.017
0.81597,-0.015,0.81705,-0.001,0.81986,0.004,0.82223,0,0.84954,0.019,0.84934,0.002,0.84958,-0.048
0.66593,-0.074,0.66698,-0.061,0.67008,-0.069,0.67216,-0.076,0.75003,-0.045,0.74963,-0.057,0.75002,-0.095
0.56588,-0.107,0.56705,-0.108,0.57033,-0.099,0.5723,-0.111,0.64988,-0.086,0.6498,-0.097,0.64957,-0.118
0.46599,-0.133,0.46706,-0.118,0.47037,-0.124,0.4722,-0.142,0.54983,-0.148,0.54955,-0.124,0.54967,-0.141
0.3658,-0.102,0.36705,-0.091,0.37009,-0.109,0.37235,-0.112,0.4499,-0.147,0.44998,-0.157,0.4497,-0.162
0.26579,-0.059,0.26705,-0.038,0.2701,-0.041,0.2723,-0.059,0.35016,-0.123,0.3499,-0.14,0.34973,-0.156
0.16594,0.018,0.16699,0.012,0.1701,0.041,0.17242,0.03,0.25012,-0.083,0.24997,-0.129,0.24976,-0.142
0.04993,0.146,0.04909,0.176,0.05016,0.216,0.05017,0.203,0.15054,0.011,0.15016,-0.07,0.14996,-0.12
0.02002,0.237,0.01922,0.295,0.0201,0.35,0.01999,0.356,0.10029,0.076,0.10019,-0.007,0.10039,-0.114
0.00593,0.693,0.0052,0.725,0.00591,0.746,0.00611,0.741,0.0655,0.184,0.06521,0.059,0.06536,-0.083
0.00034,0.613,0.00031,0.554,0.00042,0.48,0,0.495,0.0403,0.185,0.03999,0.108,0.04025,-0.04
0.00216,0.037,0.00108,-0.076,0.00222,-0.196,0.0021,-0.207,0.0203,0.311,0.01985,0.252,0.01985,0.098
0.00866,-0.726,0.00789,-0.893,0.00914,-0.996,0.00893,-1.059,0.00587,0.718,0.00567,0.639,0.00578,0.557
0.02037,-1.343,0.01906,-1.597,0.02036,-1.696,0.02012,-1.78,0.00057,0.465,0.00068,0.444,0.0005,0.413
0.03525,-1.755,0.03402,-1.877,0.03508,-2.002,0.0353,-2.036,0.00184,-0.842,0.0019,-0.251,0.00193,-0.259
0.06036,-0.725,0.05911,-1.45,0.06022,-1.89,0.06011,-1.887,0.00626,-0.841,0.00623,-0.784,0.0063,-0.825
0.09959,-0.605,0.09913,-0.644,0.10029,-0.663,0.10019,-0.727,0.01228,-1.289,0.01209,-1.267,0.01265,-1.313
0.15037,-0.546,0.14927,-0.588,0.15032,-0.586,0.15024,-0.546,0.02006,-1.766,0.01983,-1.725,0.02012,-1.703
0.20044,-0.507,0.19909,-0.572,0.20029,-0.56,0.20016,-0.523,0.02988,-1.999,0.02991,-1.892,0.02999,-1.53
0.25039,-0.486,0.2508,-0.524,0.25024,-0.517,0.25021,-0.484,0.04966,-1.891,0.04972,-1.643,0.04995,-1.154
0.3005,-0.464,0.29925,-0.5,0.30008,-0.491,0.30021,-0.445,0.07448,-1.267,0.07488,-1.017,0.07482,-0.805
0.3505,-0.456,0.34927,-0.47,0.35024,-0.462,0.35015,-0.416,0.09994,-0.762,0.09991,-0.72,0.0999,-0.557
0.40047,-0.442,0.39931,-0.447,0.40037,-0.429,0.39977,-0.376,0.13986,-0.556,0.13983,-0.478,0.13976,-0.409
0.4503,-0.427,0.44897,-0.404,0.4501,-0.395,0.45009,-0.341,0.17979,-0.484,0.17999,-0.394,0.17991,-0.359
0.50039,-0.386,0.49927,-0.371,0.50024,-0.35,0.5002,-0.307,0.22001,-0.436,0.2201,-0.362,0.2199,-0.337
0.55025,-0.342,0.54927,-0.317,0.55042,-0.289,0.55033,-0.255,0.25964,-0.396,0.25996,-0.335,0.25976,-0.32
0.60029,-0.298,0.59931,-0.265,0.60071,-0.241,0.60018,-0.204,0.29988,-0.369,0.29994,-0.32,0.29986,-0.305
0.65032,-0.247,0.64917,-0.217,0.65026,-0.184,0.65015,-0.156,0.33985,-0.344,0.34008,-0.298,0.33979,-0.29
0.71026,-0.192,0.70897,-0.155,0.71034,-0.137,0.70977,-0.108,0.37986,-0.324,0.37994,-0.286,0.37976,-0.284
0.78026,-0.13,0.77912,-0.084,0.78008,-0.061,0.78012,-0.041,0.41959,-0.303,0.41988,-0.269,0.41988,-0.301
0.85021,-0.041,0.84903,0,0.85001,0.021,0.8501,0.027,0.45975,-0.287,0.45976,-0.248,0.4597,-0.272
0.92027,0.06,0.91929,0.093,0.92012,0.105,0.92005,0.108,0.4996,-0.245,0.49994,-0.217,0.49987,-0.27
0.98518,0.171,0.98387,0.186,0.98611,0.194,0.98498,0.186,0.53959,-0.213,0.53988,-0.199,0.53975,-0.263
,,,,,,,,0.57961,-0.176,0.57991,-0.159,0.57985,-0.269
,,,,,,,,0.61987,-0.146,0.6197,-0.136,0.61976,-0.282
,,,,,,,,0.65968,-0.115,0.65979,-0.112,0.65966,-0.31
,,,,,,,,0.6997,-0.09,0.69976,-0.082,0.69979,-0.344
,,,,,,,,0.7394,-0.063,0.7397,-0.07,0.7398,-0.388
,,,,,,,,0.7796,-0.032,0.77962,-0.047,0.77942,-0.436
,,,,,,,,0.81937,0.004,0.81965,-0.019,0.81985,-0.479
,,,,,,,,0.85955,0.04,0.8598,0.006,0.85943,-0.498
,,,,,,,,0.8994,0.077,0.89977,0.03,0.89961,-0.488
,,,,,,,,0.94227,0.125,0.94861,0.073,0.94959,-0.448
,,,,,,,,0.98506,0.173,0.98462,0.123,0.98455,-0.301
