Grid   M   alpha   S_max    S_min   cond
coarse 0.6971 6.09 1.1912913379445422 7.041402946768461e-08 4113.195889715708
coarse 0.6977 0.06 1.1939981598407643 7.010696372202759e-08 4126.874380783485
coarse 0.699 3.06 1.1934021025481052 7.011390851979908e-08 4125.639823233308
coarse 0.7001 2.06 1.1938430805985871 7.002849964428794e-08 4128.917567932463
coarse 0.7003 1.08 1.1940787713810044 6.996803094126553e-08 4131.109082018259
coarse 0.7009 4.08 1.1930217965138585 7.010071653632049e-08 4125.370518111022
coarse 0.7019 5.06 1.1924783378617252 7.014461180495517e-08 4123.140093379813
coarse 0.8399 0.04 1.1983228582148486 6.222812177327042e-08 4388.272369649106
medium 0.6971 6.09 14.775612727582061 7.522068209723011e-08 14015.355436915053
medium 0.6977 0.06 4.185436550422806 7.497759512114003e-08 7471.445417228893
medium 0.699 3.06 28.42785857097853 7.4940790437048e-08 19476.59072961982
medium 0.7001 2.06 14.982843374115937 7.486640178330375e-08 14146.650997107772
medium 0.7003 1.08 11.729092512662977 7.486160676594317e-08 12517.068640013624
medium 0.7009 4.08 161.533923651472 7.489034949740308e-08 46442.85852654463
medium 0.7019 5.06 11.724692082252036 7.492507075079712e-08 12509.419079611824
medium 0.8399 0.04 34.58745022887895 6.685901062797912e-08 22744.652229826086
fine 0.6971 6.09 5.385613403505719 7.632823538707828e-08 8399.916646073198
fine 0.6977 0.06 2.5841404380061856 7.600829408137804e-08 5830.7921898885315
fine 0.699 3.06 3.3317619760782584 7.602400306543041e-08 6620.055293302725
fine 0.7001 2.06 2.6467438990221024 7.592352582166489e-08 5904.291301815601
fine 0.7003 1.08 2.1235869597195114 7.590887564763762e-08 5289.184852738201
fine 0.7009 4.08 16.359403328380942 7.598999867349364e-08 14672.54706942038
fine 0.7019 5.06 4.835837505668361 7.601424207660198e-08 7976.059127894222
fine 0.8399 0.04 5.989732359039665 6.829742759790211e-08 9364.865306220923
